,container,unix_time,cpu_util,cpu_sys,cpu_user,mem_util,mem_used,tcp_currestab,traffic_pkg_in,traffic_pkg_out,traffic_byte_in,traffic_byte_out,y
96,container4,1649980000000.0,40.93,20.42,12.17,29.77,26.26,8986.0,154289.55,152553.0,1544724.4,1374362.0,1
97,container4,1649980000000.0,38.8,19.35,11.54,43.58,38.45,9074.0,153659.52,151925.0,1544767.75,1374401.0,0
98,container4,1649980000000.0,48.51,24.19,14.42,47.96,42.32,8789.0,154308.33,152571.0,1541527.51,1371422.0,1
99,container4,1649980000000.0,58.71,29.28,17.46,45.75,40.36,8878.0,153709.4,151975.0,1536254.36,1366572.0,1
100,container4,1649980000000.0,47.31,23.6,14.07,39.79,35.11,8968.0,153668.01,151934.0,1534997.84,1365417.0,0
101,container4,1649980000000.0,47.82,23.85,14.22,47.03,41.5,8862.0,153683.07,151949.0,1534382.43,1364851.0,0
102,container4,1649980000000.0,52.72,26.3,15.68,47.42,41.84,8785.0,154445.2,152708.0,1537421.77,1367646.0,1
103,container4,1649980000000.0,64.99,32.41,19.32,55.93,49.34,8979.0,153712.18,151978.0,1543783.47,1373496.0,0
104,container4,1649980000000.0,58.62,29.24,17.43,46.05,40.63,8761.0,153812.48,152078.0,1543915.81,1373618.0,1
105,container4,1649980000000.0,51.49,25.68,15.31,47.69,42.08,8869.0,153354.84,151622.0,1542288.84,1372122.0,0
106,container4,1649980000000.0,46.86,23.37,13.93,40.28,35.54,8977.0,154235.7,152499.0,1543125.01,1372891.0,0
107,container4,1649980000000.0,41.56,20.73,12.36,61.27,54.06,9037.0,153646.3,151912.0,1546237.19,1375753.0,0
108,container4,1649980000000.0,63.37,31.61,18.84,40.21,35.48,8941.0,153437.42,151704.0,1544531.85,1374185.0,1
109,container4,1649980000000.0,63.32,31.58,18.83,35.5,31.32,8803.0,153749.42,152015.0,1543928.19,1373629.0,0
110,container4,1649980000000.0,77.99,38.9,23.19,49.11,43.33,8838.0,154054.69,152319.0,1539683.0,1369725.0,0
111,container4,1649980000000.0,47.95,23.92,14.26,34.91,30.8,9121.0,154281.44,152545.0,1537198.28,1367441.0,0
112,container4,1649980000000.0,47.62,23.75,14.16,47.6,42.0,8905.0,153851.4,152116.0,1540640.9,1370606.0,0
113,container4,1649980000000.0,57.97,28.91,17.24,54.64,48.21,8736.0,154086.03,152350.0,1543779.02,1373492.0,0
114,container4,1649980000000.0,41.83,20.87,12.44,47.63,42.02,9002.0,154369.16,152632.0,1540079.53,1370090.0,0
115,container4,1649980000000.0,53.65,26.76,15.95,29.83,26.31,8856.0,154504.83,152767.0,1546690.28,1376169.0,0
116,container4,1649980000000.0,53.81,26.84,16.0,35.16,31.02,9014.0,154240.68,152504.0,1537051.2,1367305.0,1
117,container4,1649980000000.0,55.93,27.89,16.63,32.09,28.31,8925.0,153739.71,152005.0,1544812.84,1374443.0,2
118,container4,1649980000000.0,36.29,18.1,10.79,43.81,38.65,9143.0,153886.6,152152.0,1534007.7,1364506.0,0
119,container4,1649980000000.0,55.78,27.82,16.59,37.51,33.1,8995.0,154198.18,152462.0,1541951.28,1371811.0,0
120,container4,1649980000000.0,41.65,20.77,12.38,48.13,42.46,8743.0,154554.14,152816.0,1544045.62,1373737.0,0
121,container4,1649980000000.0,59.37,29.61,17.65,47.73,42.12,8938.0,153701.03,151967.0,1544417.53,1374079.0,0
122,container4,1649980000000.0,38.35,19.13,11.4,33.52,29.57,8937.0,153186.5,151455.0,1537764.46,1367961.0,0
123,container4,1649980000000.0,47.54,23.71,14.14,40.14,35.42,3069.0,153549.74,151816.0,1549199.03,1378477.0,21
124,container5,1649980000000.0,41.08,20.48,11.34,32.82,29.24,15044.0,189000.0,168248.0,1905601.0,2070793.0,0
125,container5,1649980000000.0,39.18,19.54,10.82,39.69,35.35,15064.0,189307.0,168526.0,1904730.0,2069848.0,0
126,container5,1649980000000.0,52.16,26.01,14.4,28.12,25.05,14939.0,189814.0,168986.0,1914241.0,2080161.0,0
127,container5,1649980000000.0,37.56,18.73,10.37,31.73,28.27,14895.0,190251.0,169381.0,1922501.0,2089118.0,1
128,container5,1649980000000.0,33.81,16.86,9.34,39.24,34.95,14895.0,191295.0,170327.0,1938383.0,2106339.0,0
129,container5,1649980000000.0,54.92,27.38,15.17,35.47,31.6,14973.0,192079.0,171037.0,1934049.0,2101640.0,0
130,container5,1649980000000.0,39.31,19.6,10.86,43.7,38.93,14998.0,192445.0,171369.0,1944853.0,2113355.0,2
131,container5,1649980000000.0,46.67,23.27,12.89,18.79,16.74,15204.0,193449.0,172278.0,1950311.0,2119273.0,0
132,container5,1649980000000.0,38.26,19.07,10.56,27.81,24.77,14887.0,194193.0,172952.0,1958276.0,2127910.0,0
133,container5,1649980000000.0,33.72,16.81,9.31,50.65,45.12,14886.0,194892.0,173585.0,1960615.0,2130446.0,0
134,container5,1649980000000.0,32.65,16.28,9.02,31.84,28.37,15009.0,195508.0,174143.0,1964720.0,2134897.0,2
135,container5,1649980000000.0,66.03,32.92,18.23,39.16,34.89,15026.0,195602.0,174228.0,1975264.0,2146330.0,0
136,container5,1649980000000.0,42.64,21.26,11.77,45.25,40.31,15108.0,196782.0,175297.0,1980207.0,2151690.0,0
137,container5,1649980000000.0,30.47,15.19,8.41,48.04,42.79,14845.0,197630.0,176065.0,1993146.0,2165720.0,2
138,container5,1649980000000.0,53.09,26.47,14.66,38.95,34.7,14944.0,198725.0,177057.0,1990580.0,2162938.0,0
139,container5,1649980000000.0,38.06,18.98,10.51,42.07,37.48,14854.0,198856.0,177176.0,1994452.0,2167137.0,0
140,container5,1649980000000.0,44.11,21.99,12.18,49.13,43.77,14985.0,200365.0,178543.0,2013127.0,2187386.0,0
141,container5,1649980000000.0,36.47,18.18,10.07,36.08,32.14,15061.0,200160.0,178357.0,2014019.0,2188354.0,0
142,container5,1649980000000.0,45.95,22.91,12.69,43.46,38.72,15194.0,200972.0,179092.0,2015156.0,2189586.0,0
143,container5,1649980000000.0,49.58,24.72,13.69,25.44,22.66,14955.0,201114.0,179221.0,2021052.0,2195980.0,0
144,container5,1649980000000.0,46.08,22.97,12.72,33.79,30.1,15125.0,202227.0,180229.0,2034833.0,2210923.0,0
145,container5,1649980000000.0,56.06,27.95,15.48,50.04,44.57,15016.0,203314.0,181214.0,2049345.0,2226659.0,0
146,container5,1649980000000.0,47.34,23.6,13.07,47.13,41.98,15216.0,203968.0,181806.0,2049617.0,2226953.0,2
147,container5,1649980000000.0,62.09,30.96,17.15,40.01,35.64,14964.0,205377.0,183082.0,2047743.0,2224921.0,0
148,container5,1649980000000.0,48.17,24.02,13.3,36.68,32.68,14879.0,205709.0,183383.0,2063669.0,2242190.0,0
149,container5,1649980000000.0,59.18,29.51,16.34,29.58,26.35,14860.0,206300.0,183919.0,2066169.0,2244901.0,0
150,container5,1649980000000.0,52.15,26.0,14.4,37.27,33.2,14850.0,206335.0,183950.0,2067666.0,2246524.0,0
151,container5,1649980000000.0,45.95,22.91,12.69,42.22,37.61,14936.0,207525.0,185028.0,2078268.0,2258021.0,2
152,container5,1649980000000.0,37.01,18.45,10.22,34.52,30.75,14978.0,208367.0,185791.0,2088353.0,2268956.0,1
153,container5,1649980000000.0,41.43,20.66,11.44,54.33,48.4,14947.0,209108.0,186462.0,2084653.0,2264944.0,0
154,container5,1649980000000.0,54.15,27.0,14.95,33.35,29.71,15052.0,62958.0,54080.0,419188.0,459034.0,43
155,container6,1649980000000.0,40.38,22.02,10.71,43.86,37.04,11755.0,178009.82,168407.0,1721517.01,1652194.0,0
156,container6,1649980000000.0,28.56,15.57,7.57,34.61,29.23,11379.0,178503.84,168866.0,1721397.24,1652075.0,0
157,container6,1649980000000.0,56.92,31.04,15.1,58.18,49.13,11548.0,177977.16,168376.0,1718740.2,1649450.0,0
158,container6,1649980000000.0,40.78,22.24,10.82,40.43,34.14,11385.0,177846.46,168255.0,1721019.19,1651702.0,2
159,container6,1649980000000.0,42.56,23.21,11.29,29.5,24.91,11548.0,177923.8,168327.0,1719373.63,1650076.0,0
160,container6,1649980000000.0,45.28,24.69,12.01,42.3,35.72,11451.0,177583.18,168010.0,1714545.59,1645305.0,0
161,container6,1649980000000.0,67.58,36.85,17.93,33.56,28.34,11513.0,177917.72,168321.0,1720809.75,1651495.0,0
162,container6,1649980000000.0,58.15,31.71,15.43,70.39,59.44,11213.0,177812.63,168224.0,1713662.72,1644432.0,1
163,container6,1649980000000.0,27.14,14.8,7.2,41.15,34.75,11369.0,177412.58,167852.0,1713024.64,1643802.0,1
164,container6,1649980000000.0,58.6,31.95,15.54,57.92,48.91,11486.0,177872.13,168279.0,1729329.71,1659913.0,0
165,container6,1649980000000.0,48.76,26.59,12.93,55.81,47.13,11469.0,178022.26,168418.0,1719473.74,1650174.0,0
166,container6,1649980000000.0,59.53,32.46,15.79,42.09,35.54,11415.0,178102.47,168493.0,1727488.86,1658094.0,1
167,container6,1649980000000.0,58.56,31.94,15.53,45.51,38.43,11384.0,178100.09,168490.0,1724666.95,1655306.0,0
168,container6,1649980000000.0,54.11,29.51,14.35,25.97,21.93,11569.0,177678.41,168099.0,1720439.84,1651129.0,2
169,container6,1649980000000.0,26.37,14.38,7.0,41.46,35.01,11361.0,178394.46,168764.0,1721890.58,1652563.0,0
170,container6,1649980000000.0,45.12,24.61,11.97,50.57,42.7,11562.0,177641.76,168065.0,1715738.85,1646484.0,1
171,container6,1649980000000.0,49.83,27.17,13.22,34.06,28.76,11652.0,177660.72,168082.0,1727650.71,1658254.0,1
172,container6,1649980000000.0,49.14,26.79,13.03,40.18,33.93,11364.0,177679.42,168100.0,1715094.67,1645847.0,0
173,container6,1649980000000.0,46.18,25.18,12.25,37.53,31.69,11423.0,178467.9,168832.0,1720561.47,1651249.0,0
174,container6,1649980000000.0,55.68,30.37,14.77,37.17,31.39,11471.0,177426.15,167865.0,1719441.45,1650143.0,0
175,container6,1649980000000.0,51.95,28.33,13.78,47.66,40.24,11465.0,177847.17,168256.0,1721278.95,1651958.0,0
176,container6,1649980000000.0,42.38,23.11,11.24,41.77,35.27,11325.0,177776.71,168190.0,1718198.52,1648914.0,0
177,container6,1649980000000.0,47.38,25.84,12.57,46.32,39.11,11391.0,177305.84,167753.0,1716140.46,1646881.0,2
178,container6,1649980000000.0,60.55,33.02,16.06,46.38,39.16,11622.0,176977.68,167448.0,1716945.04,1647676.0,2
179,container6,1649980000000.0,60.33,32.9,16.0,39.27,33.16,11406.0,178157.77,168544.0,1716492.57,1647229.0,0
180,container6,1649980000000.0,42.64,23.26,11.31,34.7,29.31,11346.0,178305.39,168681.0,1716318.44,1647057.0,1
181,container6,1649980000000.0,40.83,22.27,10.83,35.05,29.59,11375.0,177150.63,167609.0,1714557.95,1645317.0,1
182,container6,1649980000000.0,45.52,24.82,12.07,42.21,35.64,11454.0,177595.4,168022.0,1716796.63,1647529.0,0
183,container6,1649980000000.0,54.27,29.6,14.4,50.66,42.78,11557.0,177751.3,168167.0,1718969.98,1649677.0,2
184,container6,1649980000000.0,48.87,26.65,12.96,49.71,41.98,11416.0,178020.12,168416.0,1718145.1,1648862.0,0
185,container6,1649980000000.0,38.83,21.18,10.3,51.08,43.14,4565.0,177304.79,167752.0,1718089.24,1648806.0,47
186,container7,1649980000000.0,42.73,19.74,14.7,49.93,40.1,8692.0,152207.0,152214.0,1462099.0,1466179.0,0
187,container7,1649980000000.0,38.47,17.78,13.24,43.22,34.72,8660.0,152114.0,152122.0,1460044.0,1464103.0,0
188,container7,1649980000000.0,35.27,16.3,12.14,44.43,35.69,8607.0,151621.0,151633.0,1453853.0,1457847.0,0
189,container7,1649980000000.0,30.1,13.91,10.36,65.76,52.82,8462.0,150435.0,150456.0,1446918.0,1450840.0,2
190,container7,1649980000000.0,55.56,25.67,19.12,52.44,42.12,8721.0,150166.0,150189.0,1443783.0,1447672.0,0
191,container7,1649980000000.0,48.39,22.36,16.65,55.51,44.59,8654.0,149195.0,149225.0,1430322.0,1434071.0,1
192,container7,1649980000000.0,51.67,23.88,17.78,59.78,48.02,8464.0,148299.0,148336.0,1419829.0,1423468.0,1
193,container7,1649980000000.0,53.82,24.87,18.52,55.18,44.33,8686.0,148242.0,148279.0,1422457.0,1426123.0,0
194,container7,1649980000000.0,26.69,12.33,9.18,43.38,34.85,8417.0,147616.0,147658.0,1407887.0,1411401.0,0
195,container7,1649980000000.0,57.54,26.59,19.8,46.61,37.44,8506.0,146765.0,146813.0,1410094.0,1413631.0,2
196,container7,1649980000000.0,46.41,21.44,15.97,62.76,50.41,8590.0,145421.0,145480.0,1399284.0,1402709.0,1
197,container7,1649980000000.0,48.09,22.22,16.55,48.96,39.32,8485.0,145660.0,145717.0,1388844.0,1392160.0,0
198,container7,1649980000000.0,69.41,32.08,23.89,53.12,42.67,8640.0,143486.0,143559.0,1386195.0,1389483.0,0
199,container7,1649980000000.0,44.97,20.78,15.47,49.92,40.1,8555.0,143487.0,143560.0,1381818.0,1385060.0,0
200,container7,1649980000000.0,49.72,22.98,17.11,70.24,56.42,8524.0,142884.0,142962.0,1375134.0,1378307.0,2
201,container7,1649980000000.0,67.33,31.11,23.17,74.05,59.48,8739.0,142012.0,142096.0,1356659.0,1359639.0,0
202,container7,1649980000000.0,27.78,12.84,9.56,37.36,30.01,8521.0,141382.0,141471.0,1351532.0,1354458.0,0
203,container7,1649980000000.0,49.89,23.06,17.17,45.71,36.71,8714.0,140698.0,140792.0,1349874.0,1352783.0,0
204,container7,1649980000000.0,42.75,19.75,14.71,42.72,34.31,8489.0,139289.0,139394.0,1342023.0,1344850.0,0
205,container7,1649980000000.0,46.47,21.47,15.99,45.02,36.16,8679.0,139642.0,139744.0,1332587.0,1335316.0,1
206,container7,1649980000000.0,32.62,15.07,11.22,49.79,39.99,8411.0,138327.0,138439.0,1320016.0,1322614.0,0
207,container7,1649980000000.0,46.45,21.46,15.98,52.07,41.82,8634.0,137742.0,137859.0,1316596.0,1319158.0,0
208,container7,1649980000000.0,46.63,21.55,16.05,50.72,40.74,8556.0,137325.0,137445.0,1301912.0,1304321.0,0
209,container7,1649980000000.0,51.81,23.94,17.83,49.61,39.84,8435.0,136679.0,136804.0,1299409.0,1301791.0,1
210,container7,1649980000000.0,37.54,17.35,12.92,55.67,44.72,8528.0,135052.0,135189.0,1300035.0,1302424.0,0
211,container7,1649980000000.0,43.45,20.08,14.95,42.1,33.82,8597.0,134596.0,134736.0,1291766.0,1294069.0,2
212,container7,1649980000000.0,49.97,23.09,17.2,50.71,40.73,8575.0,134562.0,134703.0,1283683.0,1285901.0,0
213,container7,1649980000000.0,23.1,10.67,7.95,59.64,47.9,8538.0,133870.0,134016.0,1269512.0,1271582.0,0
214,container7,1649980000000.0,46.15,21.33,15.88,44.28,35.57,8619.0,132938.0,133091.0,1263403.0,1265410.0,2
215,container7,1649980000000.0,43.82,20.25,15.08,54.07,43.43,8634.0,131797.0,131958.0,1262691.0,1264690.0,0
216,container7,1649980000000.0,41.8,19.32,14.38,30.91,24.83,8574.0,461783.0,459454.0,3140821.0,3162419.0,38
217,container8,1649980000000.0,55.76,30.64,15.55,60.74,54.12,7553.0,167255.9,177725.0,1645065.39,1625837.0,1
218,container8,1649980000000.0,44.63,24.53,12.45,36.42,32.45,7651.0,168037.21,178553.0,1650455.64,1631323.0,0
219,container8,1649980000000.0,52.76,28.99,14.72,47.83,42.62,7648.0,168894.45,179462.0,1652133.06,1633030.0,0
220,container8,1649980000000.0,48.73,26.78,13.6,54.23,48.32,7607.0,168977.37,179550.0,1650064.62,1630925.0,0
221,container8,1649980000000.0,57.36,31.52,16.0,42.56,37.92,7694.0,167988.57,178502.0,1652705.22,1633613.0,0
222,container8,1649980000000.0,44.28,24.34,12.35,54.3,48.39,7660.0,167874.58,178381.0,1641009.44,1621709.0,0
223,container8,1649980000000.0,43.74,24.03,12.2,58.95,52.53,7340.0,168726.35,179284.0,1653538.24,1634461.0,1
